Country,Temperature
Afghanistan,1.3766
Africa,1.2327
Albania,1.6423
Algeria,1.6839
American Samoa,0.9816
Americas,1.3081
Andorra,2.091
Angola,1.2664
Anguilla,0.9437000000000001
Annex I countries,1.6925000000000001
Antarctica,0.4852
Antigua and Barbuda,0.9437000000000001
Argentina,0.9295
Armenia,1.8189
Aruba,1.0802857142857143
Asia,1.4478
Australia,1.0138
Australia and New Zealand,1.0122
Austria,2.2189
Azerbaijan,1.7347000000000001
Bahamas,1.3217
Bahrain,2.0786000000000002
Bangladesh,1.1089
Barbados,0.8177777777777777
Belarus,2.2884
Belgium,2.0469999999999997
Belgium-Luxembourg,
Belize,1.2245000000000001
Benin,1.2228999999999999
Bhutan,1.258
Bolivia (Plurinational State of),1.0851
Bosnia and Herzegovina,1.9637999999999998
Botswana,0.8834
Brazil,1.3756
British Virgin Islands,
Brunei Darussalam,1.048
Bulgaria,1.7027
Burkina Faso,1.2114
Burundi,
Cabo Verde,1.0906666666666665
Cambodia,1.0141
Cameroon,1.0351
Canada,1.4731
Caribbean,1.3424
Cayman Islands,1.2739
Central African Republic,1.0346
Central America,1.238
Central Asia,1.7094
Chad,1.0026
Channel Islands,1.6712
Chile,0.545
China,1.4993
"China, Hong Kong SAR",1.3898
"China, Macao SAR",1.3898
"China, Taiwan Province of",1.1753
"China, mainland",1.5005000000000002
Christmas Island,1.0602222222222222
Cocos (Keeling) Islands,0.8385
Colombia,1.0333
Comoros,0.8800000000000001
Congo,1.2601
Cook Islands,0.5429
Costa Rica,
Croatia,2.0378
Cuba,1.4877
Cyprus,1.4646000000000001
Czechia,2.1848
Czechoslovakia,
Côte d'Ivoire,1.4619
Democratic People's Republic of Korea,1.6222
Democratic Republic of the Congo,1.3978
Denmark,2.0309
Djibouti,1.2624
Dominica,0.9437000000000001
Dominican Republic,1.2111
Eastern Africa,1.0877000000000001
Eastern Asia,1.5682
Eastern Europe,2.2517
Ecuador,1.1423999999999999
Egypt,1.2288999999999999
El Salvador,1.2111
Equatorial Guinea,1.1061999999999999
Eritrea,0.874125
Estonia,2.2628999999999997
Eswatini,0.8337
Ethiopia,1.1902
Ethiopia PDR,
Europe,2.1746
European Union (27),1.9600000000000002
Falkland Islands (Malvinas),
Faroe Islands,1.0646
Fiji,0.8487
Finland,2.1673
France,2.0371
French Guiana,1.4335
French Polynesia,0.8016
French Southern Territories,0.5215
Gabon,1.1492
Gambia,1.5858
Georgia,1.702
Germany,2.1372
Ghana,1.3392
Gibraltar,1.7141000000000002
Greece,1.2894
Greenland,1.4238
Grenada,0.8949
Guadeloupe,0.9436
Guatemala,1.2228999999999999
Guinea,1.5003
Guinea-Bissau,1.5884
Guyana,1.0449
Haiti,1.3832
Holy See,1.6890999999999998
Honduras,1.2438
Hungary,2.0314
Iceland,0.9347
India,0.7915
Indonesia,0.9929
